DOMAIN,INCLUDE_EXCLUDE,FIELD,Result_Counts,Query
Method,EXCLUDE,Text,14931,"""theoretical anal*""[Title/Abstract]"
Method,EXCLUDE,Text,46,"""graph analytic*""[Title/Abstract]"
Method,EXCLUDE,Text,2756,"""graph theoret*""[Title/Abstract]"
Method,EXCLUDE,Combined,16927,"""theoretical anal*""[Title/Abstract] OR ""graph analytic*""[Title/Abstract] OR ""graph theoret*""[Title/Abstract]"
Article_Type,EXCLUDE,Publication Type,3105812,"""Review"" [Publication Type]"
Article_Type,EXCLUDE,Publication Type,218264,"""Systematic Review"" [Publication Type]"
Article_Type,EXCLUDE,Publication Type,174526,"""Meta-Analysis"" [Publication Type]"
Article_Type,EXCLUDE,Publication Type,4489,"""Network Meta-Analysis""[Mesh] "
Article_Type,EXCLUDE,Publication Type,658507,"""Review""[Title]"
Article_Type,EXCLUDE,Title,203611,"""Systematic-Review""[Title]"
Article_Type,EXCLUDE,Title,164271,"""Meta-Analysis""[Title]"
Article_Type,EXCLUDE,Combined,3462263,"""Review"" [Publication Type] OR ""Systematic Review"" [Publication Type] OR ""Meta-Analysis"" [Publication Type] OR ""Network Meta-Analysis""[Mesh]  OR ""Review""[Title] OR ""Systematic-Review""[Title] OR ""Meta-Analysis""[Title]"
Population,EXCLUDE,MeSH,2200084,"""Adolescent""[Mesh]"
Population,EXCLUDE,MeSH,2122172,"""Child""[Mesh]"
Population,EXCLUDE,Combined,3325724,"""Adolescent""[Mesh] OR ""Child""[Mesh]"
